fig_num,name,num_parts
fig-001503,Minifig from 1792-1,5
fig-001504,Minifig from 3067-1,4
fig-001505,Minifig from 20202-1,5
fig-001506,Mia - Medium Blue Overall,4
fig-001507,"Mia - Magenta Top, Dark Purple Skirt",4
fig-001508,Batman in Dark Red Robe (CMF),4
fig-001509,Batman in Glam Metal Outfit (CMF),6
fig-001510,Batman in Fairy Outfit (CMF),6
fig-001511,"Batman, Caveman (CMF)",5
fig-001512,Jake Raines with Ammo Belt (3626b Head),4
fig-001513,Batman in Swimsuit with Duck Float and Flippers (CMF),7
fig-001514,"Train Worker - Red/White Shirt, Blue Legs, Brown Hair, Standard head",4
fig-001515,Barbara Gordon (CMF),4
fig-001516,Anakin Skywalker with Black Right Hand,4
fig-001518,Minifig from 7042-1,8
fig-001519,Rebel Pilot Snowspeeder with White Helmet,4
fig-001520,Minifig from 8362-1,5
fig-001521,Commissioner James Gordon (CMF),4
fig-001522,Minifig from 6461-1,5
fig-001523,The Joker in Prison Clothes (CMF),4
fig-001524,Dick Grayson (CMF),4
fig-001525,Hero with Ammo Belt,4
fig-001526,"Batgirl, Dark Pink Batsuit",6
fig-001527,Red Hood (CMF),6
fig-001528,The Eraser (CMF),4
fig-001529,Lobot with Light Flesh Skin,3
fig-001530,Orca (CMF),4
fig-001531,Harley Quinn in Nurse Outfit (CMF),5
fig-001532,Zodiac Master (CMF),3
fig-001533,Catman (CMF),6
fig-001534,March Harriet (CMF),4
fig-001535,Minifig from 4626-1,4
fig-001536,The Calculator (CMF),7
fig-001537,Minifig from 4625-1,4
fig-001538,King Tut (CMF),5
fig-001539,The Mime (CMF),4
fig-001540,Minifig from 9092-1,4
fig-001541,Batman,6
fig-001542,"Andrea - Magenta/White Bikini, Medium Azure Skirt",4
fig-001543,MBA Level One,5
fig-001544,MBA Level Three,16
fig-001545,Minifig from 6661-1,4
fig-001546,Stunt Driver with Lime X,5
fig-001547,Minifig from 31064-1,5
fig-001548,Minifig from 60145-1,5
fig-001549,"Emma - Lavender Top, Magenta Skirt",4
fig-001550,"Boba Fett, White",6
fig-001551,Minifig from 9763-1,5
fig-001552,Theron Nett / Rebel Pilot X-wing,4
fig-001553,TIE Fighter Pilot with Face,4
fig-001554,Green Arrow,5
fig-001555,"Moana - Red Shirt, Tan Skirt",4
fig-001556,Sonic the Hedgehog,3
fig-001557,"Tina Goldstein, Long Light Bluish Gray Coat (Dimensions)",4
fig-001558,Ethan Hunt,4
fig-001559,Minifig from 71253-1,4
fig-001560,E. T. (Dimensions),3
fig-001561,Minifig from 60144-1,5
fig-001562,Moana - Red Skirt,4
fig-001563,Batman in Tartan Outfit,5
fig-001564,Minifig from 30354-1,4
fig-001565,Captain America with Dark Blue Suit and Mask,3
fig-001566,Kanan Jarrus,4
fig-001567,Lance Richmond in Battle Suit Outfit,5
fig-001568,"Emma - Lavender Top, Dark Blue Skirt",4
fig-001569,"Mia - Medium Azure Top, Lime Trousers, Magenta Cap",4
fig-001570,"Olivia - Dark Pink Top, Medium Lavender Skirt",4
fig-001571,"Stephanie - Magenta Top, Sand Green Apron",4
fig-001572,Nexo Knight Soldier with Dark Azure Armor,5
fig-001573,Lashina,4
fig-001574,First Order General / Admiral,4
fig-001575,Cosmic Boy,4
fig-001576,Nightwing with Black Eyemask and Blue Chest Logo,4
fig-001577,Supergirl (Dimensions),5
fig-001578,Minifig from 5004932-1,4
fig-001579,TIE Fighter Pilot,4
fig-001580,Imperial Shuttle Pilot with Light Flesh Skin,4
fig-001581,Minifig from 75879-1,7
fig-001582,Minifig from 30351-1,5
fig-001583,Rebel Pilot Y-wing in Dark Blue Uniform,4
fig-001584,Macy Halbert in Battle Suit Outfit,6
fig-001585,Minifig from 30352-1,4
fig-001586,Sophie Jones,4
fig-001587,Clay Moorington with Trans-Neon Orange Armor,6
fig-001588,Clay Moorington in Battle Suit Outfit,5
fig-001589,Aaron Fox in Battle Suit Outfit,5
fig-001590,Fireman with Orange Safety Vest,4
fig-001591,"Zin Evalon, Rebel Pilot",4
fig-001592,Goblin King,5
fig-001593,Michael Knight,4
fig-001594,Naida Riverheart in Dark Azure Wrap Skirt,4
fig-001595,"Robin Underwood with Short Legs, Armor, and Helmet",5
fig-001596,"Emma - Lime Bikini, Dark Pink Skirt",4
fig-001597,"Man, Sand Blue Jacket, Dark Red Tie and Legs",4
fig-001598,Minifig from 71018-13,4
fig-001599,Minifig from 71018-3,4
fig-001600,Minifig from 71018-4,4
fig-001601,Minifig from 71018-16,6
fig-001602,Minifig from 71018-12,4
fig-001603,Minifig from 71018-11,5
fig-001604,Minifig from 71018-6,4
fig-001605,"Naomi - Lime Top, Dark Purple Skirt",4
fig-001607,Rebel Pilot A-wing with Open Helmet,4
fig-001608,Velvet - Dark Blue Wetsuit,4
fig-001609,Cole (Hands of Time),5
fig-001610,Minifig from 71018-1,4
fig-001611,Minifig from 71018-2,4
fig-001612,Minifig from 71018-5,4
fig-001613,Minifig from 71018-8,4
fig-001614,Minifig from 71018-10,5
fig-001615,Minifig from 71018-9,4
fig-001616,Minifig from 71018-14,4
fig-001617,Batgirl,8
fig-001618,Minifig from 31066-1,6
fig-001619,Minifig from 71018-7,5
fig-001620,"Gingerbread Man, Dark Orange",3
fig-001621,Minifig from 60156-1,4
fig-001622,Batman in Tiger Stripes Tuxedo,4
fig-001623,Minifig from 30355-1,4
fig-001624,Chase McCain (Dimensions),4
fig-001625,"Batman, Excalibur Batman",7
fig-001626,"Hermione Granger, Jacket over Pink Hoodie (Dimensions)",4
fig-001627,Azari Firedancer in Magenta and Gold Outfit,4
fig-001628,Snow White,4
fig-001629,"Emma - Medium Lavender Ski Vest, Light Aqua Trousers",5
fig-001630,Harley Quinn with Blue and Red Ponytails,4
fig-001631,"Stephanie - Bright Light Orange Ski Vest, Magenta Trousers",4
fig-001632,"Snowtrooper with Light Bluish Gray Hips, with Neck Bracket and Printed 1 x 1 Tile",6
fig-001633,"Stephanie - Christmas Sweater, Light Aqua Skirt",5
fig-001634,Starfire,4
fig-001635,Buttercup,3
fig-001636,Beetlejuice,4
fig-001637,Lloyd with Head Wrap and Scarf (CMF),5
fig-001638,Master Wu (CMF),6
fig-001639,Jay Walker (CMF),5
fig-001640,Lloyd Garmadon (CMF),4
fig-001641,Cole in Vest (CMF),4
fig-001642,Misako (Koko) (CMF),4
fig-001643,Zane with Backpack (CMF),5
fig-001644,Shark Army General,6
fig-001645,Shark Army Octopus,5
fig-001646,"Shark Army Angler, Sand Green (CMF)",5
fig-001647,Shark Army Great White (CMF),5
fig-001648,Gong & Guitar Rocker (CMF),4
fig-001649,GPL Tech (CMF),4
fig-001650,Sushi Chef (CMF),4
fig-001651,N-POP Girl,5
fig-001652,"Kai, Kendo Outfit (CMF)",5
fig-001653,"Girl, Medium Blue Jacket with Medium Lavender Scarf, Short Light Bluish Gray Legs",4
fig-001654,Lloyd in Honor Robes and Hair (Day of the Departed),5
fig-001655,"Cinderella - Bright Light Blue Dress, White Gloves",4
fig-001656,Nya in White Training Gi with Ponytail (CMF),4
fig-001657,Minifig from 30353-1,4
fig-001658,Scarif Stormtrooper / Shoretrooper,5
fig-001659,Minifig from 40175-1,4
fig-001660,Kai in White Training Gi,5
fig-001661,Minifig from 31075-1,4
fig-001662,King's Guard with Dark Azure Armor,5
fig-001663,Minifig from 60180-1,5
fig-001664,Minifig from 60181-1,4
fig-001665,Minifig from 31076-1,4
fig-001666,"Emma - Medium Lavender Dotted Top, Light Aqua Skirt",4
fig-001667,"Mia - Dark Azure Plaid Top, Dark Purple Skirt",4
fig-001668,Minifig from 10750-1,4
fig-001669,"Olivia - Bright Light Yellow Vest, Dark Pink Skirt",4
fig-001670,"Emma - Light Aqua Top, Medium Lavender Skirt",4
fig-001671,"Stephanie - White/Magenta Jersey, Dark Blue Skirt",4
fig-001672,"Olivia - Magenta Top, Bright Light Yellow Skirt",4
fig-001673,"Stephanie - Azure Shirt, Dark Blue SKirt",4
fig-001674,"Mia - Lime Top, Dark Purple Skirt",4
fig-001675,"Chef, Red Neckerchief, Black Legs, Moustache",4
fig-001676,Minifig from 60177-1,5
fig-001677,Minifig from 60178-1,5
fig-001678,Minifig from 60185-1,4
fig-001679,"Ariel - Mermaid Form, Pink Top",4
fig-001680,Mulan - Bright Light Yellow Dress,4
fig-001681,"Elsa - Medium Azure Dress, Long Cape with Snowflakes",5
fig-001682,Minifig from 30339-1,4
fig-001683,Alex,3
fig-001684,Biker (Sons of Garmadon),5
fig-001685,Kai in Spinjitzu Masters Outfit (Sons of Garmadon),5
fig-001686,Nya in Spinjitzu Masters Outfit (Sons of Garmadon),5
fig-001687,Jay in Spinjitzu Master Outfit (Sons of Garmadon),5
fig-001688,Zane in Spinjitzu Master Outfit (Sons of Garmadon),5
fig-001689,Cole in Spinjitzu Master Outfit (Sons of Garmadon),5
fig-001690,Lloyd (LEGO Ninjago Movie),5
fig-001691,"Unkar's Thug, Dark Tan",3
fig-001692,Emily Jones with Sand Blue Jacket and Necklace,5
fig-001693,Naida Riverheart in Dark Azure and Light Aqua Outfit,4
fig-001694,Azari Firedancer in Magenta and Gold Outfit with Belt over Torso,4
fig-001695,Harley Quinn in Disco Outfit with Rollerskates (CMF),7
fig-001696,Alfred Pennyworth in Dicso Outfit (CMF),6
fig-001697,Clock King (CMF),4
fig-001698,Hugo Strange (CMF),4
fig-001699,Mermaid Batman (CMF),4
fig-001700,Batman in Swimsuit (CMF),4
fig-001701,The Joker in Medium Azure Shirt and Duck Float (CMF),5
fig-001702,Robin in Red Shirt and Green Swim Trunks (CMF),4
fig-001703,Batgirl in Wetsuit (CMF),6
fig-001704,Alfred Pennyworth in Swimsuit (CMF),5
fig-001705,Bat-Merch Batgirl (CMF),6
fig-001706,Killer Moth (CMF),5
fig-001707,Wonder Twin Jayna (CMF),5
fig-001708,Wonder Twin Zan (CMF),5
fig-001709,Apache Chief (CMF),4
fig-001710,General Zod (CMF),4
fig-001711,Doctor Phosphorus (CMF),3
fig-001712,Black Canary (CMF),4
fig-001713,Black Vulcan (CMF),4
fig-001714,Chewbacca with Dark Brown Fur,3
fig-001715,"TIE Fighter Pilot, First Order, with Three White Lines on Helmet",4
fig-001716,"Green Lantern, John Stewart",4
fig-001717,Minifig from 40306-1,4
fig-001718,"Easter Bunny, Man, Bright Light Yellow Bow Tie",4
fig-001719,Lloyd Garmadon (LEGO Ninjago Movie),4
fig-001720,Cole with Shoulder Armour (Hands of Time),5
fig-001721,Giant Man (Hank Pym),3
fig-001722,Minifig from 2000425-1,4
fig-001723,Minifig from 40308-1,4
fig-001724,Royal Guard,4
fig-001725,Minifig from 951703-1,8
fig-001726,Minifig from 75884-1,5
fig-001727,Minifig from 75885-1,5
fig-001728,Minifig from 75887-1,5
fig-001729,Minifig from 951704-1,4
fig-001730,Minifig from 951805-1,4
fig-001731,Minifig from 951702-1,5
fig-001732,Minifig from 40302-1,5
fig-001733,Minifig from,4
fig-001734,"Lloyd in Black Training Gi, with Head Wrap",5
fig-001735,DJ Code Breaker,4
fig-001736,Minifig from 40295-1,4
fig-001737,Minifig from 71021-1,5
fig-001738,Minifig from 71021-2,4
fig-001739,Minifig from 71021-3,4
fig-001740,Minifig from 71021-4,6
fig-001741,Minifig from 71021-5,4
fig-001742,Minifig from 71021-6,4
fig-001743,Minifig from 71021-7,6
fig-001744,Minifig from 71021-8,4
fig-001745,Minifig from 71021-9,5
fig-001746,Minifig from 71021-10,5
fig-001747,Minifig from 71021-11,4
fig-001748,Minifig from 71021-12,5
fig-001749,Minifig from 71021-13,6
fig-001750,Minifig from 71021-14,5
fig-001751,Minifig from 71021-15,6
fig-001752,Minifig from 71021-16,4
fig-001753,Minifig from 71021-17,5
fig-001754,"Olivia - Dark Pink Top, Bright Light Yellow",4
fig-001755,"Andrea - Bright Light Orange Top, Light Aqua Skirt",4
fig-001756,"Emma - Medium Lavender Dotted Top, Dark Purple Skirt",4
fig-001759,"Stephanie - White Top, Dark Blue Skirt",4
fig-001760,Robin Underwood with Hair and Shoulder Armor,5
fig-001761,Jay in White Training Gi,4
fig-001762,Lloyd in White Training Gi (LEGO Ninjago Movie),4
fig-001763,Kai with Hair and Scabbard (Tournament of Elements),6
fig-001764,Jay in Honor Robes with Hair and Pearl Gold Shoulder Armour (Day of the Departed),5
fig-001765,Vermillion Warrior,8
fig-001766,Cole in Honor Robes with Hair (Day of the Departed),6
fig-001767,Kai in Honor Robes with Hair (Day of the Departed),5
fig-001768,Zane in Honor Robes and Hair (Day of the Departed),5
fig-001769,Stone Swordsman,5
fig-001770,Kai with Shoulder Armour (Hands of Time),5
fig-001771,Nindroid,4
fig-001772,Zane (Hands of Time),5
fig-001773,Chen,4
fig-001774,Stone Stomper with Dark Purple Shoulder Armor,5
fig-001775,Aaron Fox with Trans-Neon Orange Armor and Visor,6
fig-001776,Robin Underwood with Short Legs and Helmet,4
fig-001777,Lance Richmond with Trans-Neon Orange Visor and Armor,6
fig-001778,"Emma - Magenta Ski Hoodie, Light Aqua Skirt",4
fig-001779,"Man, LEGO House 'Home of the Brick'",3
fig-001780,C-3PO with Dark Red Arm,3
fig-001782,Olivia - Dark Azure/White Race Suit,5
fig-001783,Darth Vader with Light Flesh Head,6
fig-001784,Belle - Bright Light Orange/Bright Light Yellow Full Dress,4
fig-001785,Edna Mode,4
fig-001786,"Rapunzel - Dark Purple Top, Medium Lavender Dress",4
fig-001787,Minifig from 60190-1,6
fig-001788,Minifig from 60192-1,4
fig-001789,Cole (Hunted),5
fig-001790,Jay (Hunted),5
fig-001791,Kai (Hunted),5
fig-001792,Minifig from 951807-1,5
fig-001793,Sawyer,5
fig-001794,Gorm,3
fig-001795,Master Wu / Golden Dragon Master (Hunted),5
fig-001796,Zane (Hunted),5
fig-001797,Stone Giant with Neck Bracket,5
fig-001798,"Ariel - Mermaid Form, Pink Top, Gold Print on Tail",4
fig-001799,Minifig from 30360-1,4
fig-001800,Kessel Mine Worker,3
fig-001801,Han Solo in Mudtrooper Outfit,4
fig-001802,Olivia - Dark Azure/White Race Suit,4
fig-001803,Batman with Pearl Dark Gray Armor,5
fig-001804,Batman,6
fig-001805,Harley Quinn with Rollerskates,6
fig-001806,Minifig from 951806-1,4
fig-001807,Aaron Fox with Hair and Shoulder Armor,5
fig-001808,Lloyd in Black Training Gi,4
fig-001809,Scooter,8
fig-001810,Finn,4
fig-001811,"Lloyd, Kendo Outfit no Mask",5
fig-001812,Party Banana Guy,4
fig-001813,Penguin Suit Girl,4
fig-001814,Minifig from 852998-1,4
fig-001815,Aquaman with Short Hair,4
fig-001816,The Wasp (Hope van Dyne) with Trans-Medium Blue Wings,5
fig-001817,Imperial Combat Driver,4
fig-001818,"Harry Potter, Gryffindor Sweater, Short Legs",4
fig-001819,Lex Luthor in Superman Armor,4
fig-001820,Green Lantern Jessica Cruz,4
fig-001821,"Harry Potter, Long Open Gryffindor Robe (CMF)",4
fig-001822,"Hermione Granger, Gryffindor Robe with Crest (CMF)",4
fig-001823,"Ron Weasley, Open Gryffindor Robe with Crest (CMF)",4
fig-001824,"Draco Malfoy, Dark Green Slytherin Quidditch Uniform (CMF)",5
fig-001825,Luna Lovegood (CMF),5
fig-001826,"Neville Longbottom, Headphones (CMF)",4
fig-001827,Cho Chang (CMF),5
fig-001828,Dean Thomas (CMF),4
fig-001829,"Voldemort, Dark Green Robe (CMF)",3
fig-001830,"Dobby, Tan Vest (CMF)",3
fig-001831,"Professor Sybil Trelawney, Sand Green Robe (CMF)",4
fig-001832,"Cedric Diggory, Black and Yellow Tournament Uniform (CMF)",4
fig-001833,"Professor Filius Flitwick, Black Suit, Bow Tie (CMF)",6
fig-001834,"Alastor Mad-Eye Moody, Odd Legs (CMF)",4
fig-001835,"Harry Potter, Invisibility Cloak (CMF)",5
fig-001836,"Albus Dumbledore, Bright Light Blue Robes (CMF)",5
fig-001837,"Newt Scamander, Long Dark Blue Coat (CMF)",4
fig-001838,"Tina Goldstein, Long Sand Blue Coat (CMF)",4
fig-001839,"Jacob Kowalski, Dark Bluish Gray Suit (CMF)",4
fig-001840,"Queenie Goldstein, Dark Blue Outfit (CMF)",4
fig-001841,Credence Barebone (CMF),4
fig-001842,Percival Graves (CMF),5
fig-001843,Obi-Wan Kenobi with Mid-Length Hair and Headset,4
fig-001844,The Joker with Long Coattails,5
fig-001845,Lloyd (The Final Battle),5
fig-001846,Owen Grady,4
fig-001847,Minifig from 951808-1,5
fig-001848,"Mia - Medium Azure Top, Dark Purple Skirt",4
fig-001849,Macy Halbert with Trans-Neon Orange Armor,7
fig-001850,Fred,5
fig-001851,Lance Richmond with Hair and Shoulder Armor,5
fig-001852,Nya in Black Training Gi,4
fig-001853,Buffer,6
fig-001854,Cole (Sons of Garmadon),5
fig-001855,Jet Jack with Tattered Torso,4
fig-001856,Talon with Neck Bracket,5
fig-001857,"U-3PO, Silver Protocol Droid",3
fig-001858,Jay (Rebooted),6
fig-001859,Batman (Pirate),5
fig-001860,Samurai X (P.I.X.A.L),7
fig-001861,Kai (Possession),5
fig-001862,Cole with Black Hair and Shoulder Armor,5
fig-001863,Cole (Tournament of Elements) with Scabbard,6
fig-001864,Cole in Training Gi,4
fig-001865,Kai (Rebooted),5
fig-001866,Gargoyle,9
fig-001867,Jay with Shoulder Armor (Skybound),5
fig-001868,Wilhurt,4
fig-001869,"Policeman, Bright Light Blue Shirt with Radio and Badge, Dark Blue Legs, Police Hat with Badge, Beard",4
fig-001870,The Flash,4
fig-001871,Astronaut with Blue Cap,4
fig-001872,Superman with Red Eyes on Dual Sided Head,5
fig-001873,Minifig from 14748012-1,4
fig-001874,Worker with Orange Stripes and Blue Cap,4
fig-001875,Master Wu in White Robes (The Golden Weapons),5
fig-001876,Minifig from 9781409314110-1,8
fig-001877,Minifig from 9781409308041-1,6
fig-001878,Minifig from 9781409312833-1,4
fig-001879,Minifig from 9781409314103-1,4
fig-001880,Minifig from 9780723291077-1,5
fig-001881,Minifig from 9780241198070-1,6
fig-001882,Minifig from 9780723291251-1,4
fig-001883,Minifig from 9781409312840-1,4
fig-001884,Minifig from 9780723270515-1,4
fig-001885,Minifig from 9780723270508-1,4
fig-001886,Robot Police,4
fig-001887,Rebel Trooper in Hoth Uniform,6
fig-001889,Death Star Trooper,4
fig-001890,"Mountain Police Chief, Dark Blue Shirt with Radio and Badge, Campaign Hat, Moustache",4
fig-001891,"Santa, Plain Red with Backpack",6
fig-001892,Kordi,4
fig-001893,Beach Party Dude,5
fig-001894,Minifig from 951809-1,4
fig-001895,Minifig from 45804-1,4
fig-001896,Dragon Hunter,5
fig-001897,Kai with Plain Head Wrap (Sons of Garmadon),6
fig-001898,Batman in Yellow Lantern Outfit,5
fig-001899,Cinderella - Bright Light Blue/Medium Blue Dress,4
fig-001900,"Sweet Mayhem - Wings, Helmet, Smile",7
fig-001901,Minifig from 9781465436832-1,4
fig-001902,Master Wu in Gold Trimmed Outfit,5
fig-001903,Clay Moorington Turning to Stone,4
fig-001904,Merlok,6
fig-001905,The Penguin in Prison Clothes,5
fig-001906,Zane (Rebooted),5
fig-001907,Minifig from 4250348-1,7
fig-001908,Emmet,4
fig-001909,"Sweet Mayhem - Wings, Helmet, Angry",7
fig-001910,Minifig from 70824-1,4
fig-001911,"Sweet Mayhem - No Wings, Hair, Crooked Smile",4
fig-001912,Darth Maul,4
fig-001913,"Anakin Skywalker, Child, with Reddish Brown Hat",5
fig-001914,"Mia - Lime/Azure Top, Dark Purple Skirt",5
fig-001915,"Emma - White Jacket, Dark Purple Skirt",4
fig-001916,"Mia - Blue Plaid Shirt, DArk Blue Trousers",5
fig-001917,"Mia - Dark Purple Top, Olive Green Skirt, Lavender Helmet",4
fig-001918,"Stephanie - Medium Blue Jersey, Dark Blue Skirt",4
fig-001919,"Olivia - Dark Pink Top, Dark Pink Skirt",4
fig-001920,Minifig from 75890-1,5
fig-001923,"Ariel - Human Form, Light Aqua Dress",4
fig-001924,Minifig from 60239-1,4
fig-001925,Minifig from 60240-1,5
fig-001926,Kai (Legacy),4
fig-001927,Jay (Legacy),4
fig-001928,Zane (Legacy),4
fig-001929,Cole (Legacy),4
fig-001930,Samurai X (P.I.X.A.L) (Sons of Garmadon / Hunted),7
fig-001931,Minifig from 40359-1,4
fig-001932,Black VIP with Millennium Falcon on Torso,3
fig-001933,Minifig from 31094-1,5
fig-001934,Minifig from 60219-1,4
fig-001935,I Brick Orlando Man,4
fig-001936,I Brick NY Man,4
fig-001937,"Emmet, Worn Outfit",4
fig-001938,Minifig from 30361-1,4
fig-001939,Luke Skywalker in Tatooine Robes (Dual Sided Head),4
fig-001940,"Snowtrooper with Light Bluish Gray Hips, Skirt (Kama), and Neck Bracket",6
fig-001941,Macy Halbert with Dark Red Hair,4
fig-001942,Nexo Knight Soldier with Pearl Gold Armor,6
fig-001943,Clay Moorington with Hair and Armor,5
fig-001944,Teen Wu / Master Wu (Dragon Hunter Disguise),4
fig-001945,"Emmet, Worn Outfit",4
fig-001946,Rex Dangervest,4
fig-001947,Lucy Wildstyle,6
fig-001948,VanByter,4
fig-001949,LEGO Store Employee (100 Stores),4
fig-001950,Nya (Sons of Garmadon),5
fig-001951,Minifig from 30364-1,4
fig-001952,Minifig from 30363-1,6
fig-001953,Spider-Man,3
fig-001954,"Emma - Medium Lavender Dotted Top, Dark Purple Skirt",4
fig-001955,Minifig from 2000703-1,5
fig-001956,Placeholder,0
fig-001957,Emmet with Headphones,4
fig-001958,Lucy with Hood (CMF),5
fig-001959,Swamp Creature (CMF),4
fig-001960,Crayon Girl (CMF),4
fig-001961,Giraffe Guy (CMF),4
fig-001962,Watermelon Dude (CMF),4
fig-001963,"Sherry Scratchen-Post, Apocalypse (CMF)",4
fig-001964,Apocalypse Benny (CMF),6
fig-001965,Vest Friend Rex (CMF),4
fig-001966,Dorothy Gale (CMF),5
fig-001967,Cowardly Lion (CMF),5
fig-001968,Tin Man (CMF),5
fig-001969,Scarecrow (CMF),4
fig-001970,President Business in Golf Outfit (CMF),4
fig-001971,Lucy in Popstar Outfit (CMF),4
fig-001972,Candy Rapper (CMF),5
fig-001973,Kitty Pop (CMF),5
fig-001974,Apocalypseburg Abe (CMF),4
fig-001975,Hula Lula (CMF),5
fig-001976,Wonder Woman in Full Body Armor,4
fig-001977,Cole with Stone Armor (Rebooted),6
fig-001978,Minifig from 951901-1,5
fig-001979,Jay (Hunted),5
fig-001980,Batman with Light Bluish Gray Armor,5
fig-001981,"Sweet Mayhem - No Wings, Hair",4
fig-001982,Minifig from 951902-1,7
fig-001983,"Sweet Mayhem - Wings, Helmet",7
fig-001984,Celeste,4
fig-001985,Cyren,4
fig-001986,Woody with Dual Sided Head,4
fig-001987,Heavy Metal / Faith,5
fig-001988,Chicken Skater,6
fig-001989,Minifig from 951903-1,4
fig-001990,"Rex Dangervest, Neck Bracket",5
fig-001991,Robin with Red Eyemask,5
fig-001992,Iron Baron,5
fig-001993,"Mickey Mouse, Black and White (CMF)",4
fig-001994,"Minnie Mouse, Black and White (CMF)",5
fig-001995,Scrooge McDuck (CMF),5
fig-001996,Huey (CMF),5
fig-001997,Dewey (CMF),5
fig-001998,Louie (CMF),5
fig-001999,Chip (CMF),3
fig-002000,Dale (CMF),3
fig-002001,Jasmine (CMF),4
fig-002002,Jafar (CMF),6
fig-002003,Anna (CMF),5
fig-002004,Elsa (CMF),5
fig-002005,Jack Skellington (CMF),5
fig-002006,Sally (CMF),4
fig-002007,Edna Mode (CMF),4
fig-002008,Frozone (CMF),3
fig-002009,Hercules (CMF),5
fig-002010,Hades (CMF),3
fig-002011,"Iron Man, White with Neck Bracket",6
fig-002012,Tony Stark Transforming into Iron Man,4
fig-002013,Minifig from 40335-1,4
fig-002014,Aquaman,4
fig-002015,The Penguin,5
fig-002016,ATOM,4
fig-002017,Vixen,4
fig-002018,Plastic Man,4
fig-002019,"Harry Potter, Long Robes, Dark Red Shirt",4
fig-002020,Bilbo Baggins - Patch Work,4
fig-002021,Minifig from 951904-1,6
fig-002023,Lloyd FS in Spinjitzu Slam Outfit,4
fig-002024,Jay FS in Spinjitzu Slam Outfit,4
fig-002025,"Overalls Blue with Pocket, Witch Hat",4
fig-002026,Minifig from 60224-1,5
fig-002027,Minifig from 5005772-1,4
fig-002029,"Mia - Dark Purple Top, Dark Purple Skirt",4
fig-002030,"Olivia - Magenta Top, Dark Pink Skirt",4
fig-002031,"Stephanie - Medium Blue Top, Medium Azure Skirt",4
fig-002032,"Emma - Dark Blue Top, Light Aqua Trousers",7
fig-002033,"Andrea - Dark Turquoise Bikini, Dark Turquoise Skirt",4
fig-002034,Charge with Trans-Dark Blue Diving Mask,5
fig-002035,Captain Jack Sparrow,4
fig-002036,Captain Jack Sparrow with Open Jacket,4
fig-002037,Cavalary Colonel,4
fig-002038,Minifig from 4934-1,4
fig-002039,Lloyd with Plain Head Wrap (Hunted),5
fig-002040,Minifig from 852841-1,4
fig-002041,Finn in Bacta Suit,4
fig-002042,Minifig from 852666-1,4
fig-002043,Minifig from 951905-1,5
fig-002044,Shazam,5
fig-002045,Bespin Guard with Light Flesh Skin,4
fig-002046,Superman,5
fig-002047,Count Dooku (Clone Wars),5
fig-002048,Obi-Wan Kenobi (Clone Wars),4
fig-002049,"Mia - Medium Azure Top, Lime Trousers, Lavender Cap, Life Vest",5
fig-002050,Nya with Plain Head Wrap (Hunted),5
fig-002051,Minifig from 9780545477024-1,4
fig-002052,Minifig from 2000443-1,4
fig-002053,"Darth Maul with Hood and Cape, and Waist Sash",5
fig-002054,Minifig from 40356-1,4
fig-002055,Batman,5
fig-002056,Minifig from 75895-1,6
fig-002057,Rey in Crossed Robes,4
fig-002058,Dr. Wu with Dark Azure Hands,4
fig-002059,Blizzard Samurai,4
fig-002060,"Hermione Granger, Gryffindor Sweater, Short Legs",4
fig-002061,Minifig from 951906-1,8
fig-002062,Santa with Glasses,5
fig-002063,"Man - White Torso, classic Space Logo, Blue Legs, Red Cap",4
fig-002064,"Mia - Christmas Sweater, Dark Blue Trousers",4
fig-002065,"Sweet Mayhem - No Wings, Hair, Happy",7
fig-002066,"Obi-Wan Kenobi, Old (20th Anniversary)",4
fig-002067,"Bilbo Baggins, Blue Coat",4
fig-002068,Cole in Sons of Garmadon Robe (Legacy),4
fig-002069,Minifig from 71025-16,4
fig-002070,Minifig from 71025-1,4
fig-002071,Minifig from 71025-2,5
fig-002072,Minifig from 71025-3,5
fig-002073,Minifig from 71025-4,7
fig-002074,Programmer,4
fig-002075,Minifig from 71025-6,4
fig-002076,Minifig from 71025-7,5
fig-002077,Minifig from 71025-8,4
fig-002078,Minifig from 71025-9,4
fig-002079,Minifig from 71025-10,4
fig-002080,Minifig from 71025-11,5
fig-002081,Minifig from 71025-12,4
fig-002082,Minifig from 71025-13,4
fig-002083,Fox Costume Girl,5
fig-002084,Minifig from 71025-15,4
fig-002085,Master Wu with Gold Lettering on Robes,5
fig-002086,Yoda with Olive Green Skin,3
fig-002087,Minifig from SHANGHAI-1,4
fig-002088,Pyro Whipper,3
fig-002089,"Stormtrooper, First Order",4
fig-002091,"Anna - Black Dress, Dark Purple Cape",5
fig-002093,"Elsa - Medium Blue Skirt, Glitter Cape",5
fig-002094,The Joker,4
fig-002095,Minifig from 951909-1,5
fig-002096,"Jack Davids, Red Jacket with White Hood and Red Cap",4
fig-002097,Kai in Sons of Garmadon Outfit (Legacy),4
fig-002098,Elsa - Lavender Dress,4
fig-002099,Space Police III,5
fig-002100,Minifig from 951910-1,4
fig-002101,Blizzard Samurai with Shoulder Armor,5
fig-002102,Minifig from 951911-1,6
fig-002103,Minifig from 60247-1,4
fig-002104,"Kylo Ren, Supreme Leader",4
fig-002106,"Mia - Dark Purple Top, Lime Trousers",4
fig-002107,Minifig from 76897-1,6
